RecordID,StudentID,CourseID,CourseName,Grade,Credits,Semester,AcademicYear,AttemptNumber
GR099,S025,C230,Statistics,B,3,Spring,2024-2025,1
GR100,S025,C205,Mathematics,A,4,Fall,2024-2025,1
GR101,S026,C206,Operating Systems,A,4,Spring,2024-2025,1
GR102,S026,C215,Networking,A-,4,Fall,2024-2025,1
GR103,S026,C217,Data Structures,B+,2,Spring,2024-2025,1
GR104,S026,C204,Algorithms,A,4,Fall,2024-2025,1
GR105,S027,C205,Mathematics,B+,4,Fall,2024-2025,1
GR106,S027,C211,Mathematics,B,4,Summer,2024-2025,1
GR107,S027,C213,Statistics,B-,4,Fall,2024-2025,1
GR108,S027,C249,Mathematics,C+,3,Fall,2024-2025,1
GR109,S028,C205,Mathematics,A-,4,Fall,2024-2025,1
GR110,S028,C211,Mathematics,B+,4,Summer,2024-2025,1
GR111,S028,C213,Statistics,A,4,Fall,2024-2025,1
GR112,S028,C249,Mathematics,B,3,Fall,2024-2025,1
GR113,S029,C223,Literature,A,4,Summer,2024-2025,1
GR114,S029,C226,English Composition,A-,3,Summer,2024-2025,1
GR115,S029,C243,English Composition,B+,3,Fall,2024-2025,1
GR116,S029,C203,History,A,2,Fall,2024-2025,1
GR117,S030,C214,Philosophy,C,4,Fall,2024-2025,1
GR118,S030,C242,Philosophy,D+,4,Fall,2024-2025,1
GR119,S030,C203,History,C-,2,Fall,2024-2025,1
GR120,S030,C226,English Composition,D,3,Summer,2024-2025,1
GR121,S031,C214,Philosophy,B+,4,Fall,2024-2025,1
GR122,S031,C242,Philosophy,B,4,Fall,2024-2025,1
GR123,S031,C223,Literature,A-,4,Summer,2024-2025,1
GR124,S031,C226,English Composition,A,3,Summer,2024-2025,1
GR125,S032,C203,History,B,2,Fall,2024-2025,1
GR126,S032,C223,Literature,B+,4,Summer,2024-2025,1
GR127,S032,C226,English Composition,A-,3,Summer,2024-2025,1
GR128,S032,C214,Philosophy,B,4,Fall,2024-2025,1
GR129,S033,C208,Economics,A,4,Summer,2024-2025,1
GR130,S033,C232,Economics,B+,4,Summer,2024-2025,1
GR131,S033,C205,Mathematics,A-,4,Fall,2024-2025,1
GR132,S033,C213,Statistics,B,4,Fall,2024-2025,1
GR133,S034,C205,Mathematics,A,4,Fall,2024-2025,1
GR134,S034,C211,Mathematics,A-,4,Summer,2024-2025,1
GR135,S034,C213,Statistics,B+,4,Fall,2024-2025,1
GR136,S034,C249,Mathematics,A,3,Fall,2024-2025,1
GR137,S035,C206,Operating Systems,C+,4,Spring,2024-2025,1
GR138,S035,C215,Networking,C,4,Fall,2024-2025,1
GR139,S035,C217,Data Structures,B-,2,Spring,2024-2025,1
GR140,S035,C204,Algorithms,C+,4,Fall,2024-2025,1
GR141,S036,C203,History,A-,2,Fall,2024-2025,1
GR142,S036,C223,Literature,B+,4,Summer,2024-2025,1
GR143,S036,C226,English Composition,A,3,Summer,2024-2025,1
GR144,S036,C214,Philosophy,B,4,Fall,2024-2025,1
GR145,S037,C219,Computer Science,A-,3,Summer,2024-2025,1
GR146,S037,C201,Database Systems,A,4,Summer,2024-2025,1
GR147,S037,C217,Data Structures,A,2,Spring,2024-2025,1
GR148,S037,C218,Machine Learning,A-,3,Fall,2024-2025,1
GR149,S038,C214,Philosophy,D,4,Fall,2024-2025,1
GR150,S038,C242,Philosophy,F,4,Fall,2024-2025,1
GR151,S038,C203,History,D+,2,Fall,2024-2025,1
GR152,S038,C226,English Composition,F,3,Summer,2024-2025,1
GR153,S039,C214,Philosophy,C,4,Fall,2024-2025,1
GR154,S039,C242,Philosophy,C-,4,Fall,2024-2025,1
GR155,S039,C223,Literature,D+,4,Summer,2024-2025,1
GR156,S039,C226,English Composition,D,3,Summer,2024-2025,1
GR157,S040,C220,Biology,B+,3,Fall,2024-2025,1
GR158,S040,C212,Physics,B,3,Fall,2024-2025,1
GR159,S040,C202,Chemistry,B-,3,Spring,2024-2025,1
GR160,S040,C205,Mathematics,A-,4,Fall,2024-2025,1
GR161,S041,C212,Physics,C,3,Fall,2024-2025,1
GR162,S041,C221,Physics,D+,2,Spring,2024-2025,1
GR163,S041,C205,Mathematics,C-,4,Fall,2024-2025,1
GR164,S041,C202,Chemistry,D,3,Spring,2024-2025,1
GR165,S042,C223,Literature,A,4,Summer,2024-2025,1
GR166,S042,C226,English Composition,A+,3,Summer,2024-2025,1
GR167,S042,C243,English Composition,A-,3,Fall,2024-2025,1
GR168,S042,C203,History,A,2,Fall,2024-2025,1
GR169,S043,C208,Economics,B+,4,Summer,2024-2025,1
GR170,S043,C232,Economics,B,4,Summer,2024-2025,1
GR171,S043,C205,Mathematics,B-,4,Fall,2024-2025,1
GR172,S043,C213,Statistics,B+,4,Fall,2024-2025,1
GR173,S044,C208,Economics,A-,4,Summer,2024-2025,1
GR174,S044,C232,Economics,B+,4,Summer,2024-2025,1
GR175,S044,C205,Mathematics,B,4,Fall,2024-2025,1
GR176,S044,C213,Statistics,A-,4,Fall,2024-2025,1
GR177,S045,C208,Economics,C+,4,Summer,2024-2025,1
GR178,S045,C232,Economics,C,4,Summer,2024-2025,1
GR179,S045,C205,Mathematics,B-,4,Fall,2024-2025,1
GR180,S045,C203,History,C+,2,Fall,2024-2025,1
GR181,S046,C213,Statistics,A,4,Fall,2024-2025,1
GR182,S046,C225,Statistics,A-,3,Fall,2024-2025,1
GR183,S046,C230,Statistics,B+,3,Spring,2024-2025,1
GR184,S046,C205,Mathematics,A,4,Fall,2024-2025,1
GR185,S047,C212,Physics,B,3,Fall,2024-2025,1
GR186,S047,C221,Physics,B+,2,Spring,2024-2025,1
GR187,S047,C205,Mathematics,B-,4,Fall,2024-2025,1
GR188,S047,C213,Statistics,B,4,Fall,2024-2025,1
GR189,S048,C213,Statistics,D,4,Fall,2024-2025,1
GR190,S048,C225,Statistics,F,3,Fall,2024-2025,1
GR191,S048,C205,Mathematics,D+,4,Fall,2024-2025,1
GR192,S048,C203,History,F,2,Fall,2024-2025,1
GR193,S049,C212,Physics,C+,3,Fall,2024-2025,1
GR194,S049,C221,Physics,C,2,Spring,2024-2025,1
GR195,S049,C205,Mathematics,B-,4,Fall,2024-2025,1
GR196,S049,C202,Chemistry,C+,3,Spring,2024-2025,1
GR197,S050,C208,Economics,B,4,Summer,2024-2025,1
GR198,S050,C232,Economics,A-,4,Summer,2024-2025,1
GR199,S050,C205,Mathematics,B+,4,Fall,2024-2025,1
GR200,S050,C213,Statistics,B,4,Fall,2024-2025,1
